Code;Libellé;Médiane du niveau de vie 2021;Taux d'activité par tranche d'âge 2021;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Population municipale 2021;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2021;École maternelle, primaire, élémentaire (en nombre) 2023;Médecin généraliste (en nombre) 2023
81179;Montgey;24220;82.5;0;276;12.7;0;0
81180;Montirat;19490;73.9;0;260;7.2;0;0
81181;Montpinier;22670;82.9;1.1;189;4.1;0;0
81182;Montredon-Labessonnié;20100;77.9;0.8;2049;4.9;3;3
81183;Mont-Roc;20730;78.4;0;187;2.5;0;0
81184;Montrosier;0;73.7;7.7;35;11.1;0;0
81185;Montvalen;23320;78.2;2.6;241;9.7;0;0
81186;Moularès;19570;80.7;0;254;2.2;0;0
81187;Moulayrès;22090;71;1.2;215;6.3;1;0
81188;Moulin-Mage;23150;76.8;0;312;3.7;2;0
81189;Mouzens;25180;88.5;0;122;14.9;0;0
81190;Mouzieys-Teulet;21950;80.7;0.4;521;5.5;1;0
81191;Mouzieys-Panens;20140;75.8;3.2;241;11.5;0;0
81192;Murat-sur-Vèbre;19590;77.7;0.3;871;4.5;1;0
81193;Nages;21100;70.9;0;339;4.4;0;0
81195;Navès;25080;77.5;1;689;8.7;1;0
81196;Noailhac;22710;80;0.8;843;4.5;1;0
81197;Noailles;21890;72.9;2.4;211;8.9;0;0
81198;Orban;23550;78.5;1.5;331;6.1;1;0
81199;Padiès;19830;72.7;0;166;7.2;0;0
81200;Palleville;21450;76.4;3.5;444;4.7;1;0
81201;Pampelonne;21380;75.7;2.3;919;6.9;1;1
81202;Parisot;24610;78.1;4.5;985;12.2;1;0
81203;Paulinet;19590;79.9;3.1;524;4.5;0;0
81204;Payrin-Augmontel;22520;76.5;1;2188;4.4;2;2
81205;Péchaudier;22020;79.6;1.2;188;11.4;0;0
81206;Penne;20360;77.3;3.1;592;14.7;1;0
81207;Peyregoux;0;73.9;3.1;77;6.1;0;0
81208;Peyrole;24370;82.5;1.8;569;12.6;1;0
81209;Pont-de-Larn;22740;75.3;1.4;2786;5.8;3;2
81210;Poudis;20730;79.4;0;266;4.7;0;0
81211;Poulan-Pouzols;22820;79.5;0.4;488;6.7;1;0
81212;Prades;23420;74;0;120;10.1;0;0
81213;Pratviel;0;80.9;2.6;91;10.9;0;0
81214;Puéchoursi;25990;84.1;0;104;23.5;0;0
81215;Puybegon;23540;78;4.3;646;6.8;0;0
81216;Puycalvel;19600;75.8;1.1;212;6;1;0
81217;Puycelsi;19500;76.7;2.4;456;11;1;1
81218;Puygouzon;25950;76;1.2;3540;9.8;1;3
81219;Puylaurens;21510;76.7;1.5;3204;6.7;2;2
81220;Rabastens;23190;79.9;9.3;5775;11.5;2;9
81221;Rayssac;18110;81.5;0;232;2;0;0
81222;Réalmont;21240;76.3;2.9;3529;4.4;3;8
81223;Le Rialet;0;70.4;5.3;60;10.7;0;0
81224;Le Riols;16440;67.3;3.6;101;3.4;0;0
81225;Rivières;23330;80.6;1.6;1071;7.4;1;0
81227;Roquecourbe;20930;76.6;0.8;2183;3.8;3;1
81228;Roquemaure;25330;85.8;5.1;471;11.5;1;0
81229;Roquevidal;25670;84.7;1.8;132;21.8;0;0
81230;Rosières;22620;77.2;1;723;3.1;1;0
81231;Rouairoux;21350;76.7;1.3;385;4.3;0;0
81232;Rouffiac;23700;74.6;1.6;625;8.3;1;0
81233;Terre-de-Bancalié;21490;76.2;1.1;1732;5.3;4;0
81234;Roussayrolles;0;62.5;4.2;88;11.3;0;0
